,Unnamed: 0,Unnamed: 0.1,report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,lat,lng
355,355,355,171468,2017-02-18 07:20:00,233,11100, ,DEL DIABLO,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.9839961,-117.0910361
356,356,356,171510,2017-02-18 07:56:00,123,0, ,INGRAHAM, , ,SUNSET CLIFFS, ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,MISDEMEANOR,32.7842107,-117.2363331
357,357,357,171463,2017-02-18 08:29:00,623,7000, ,FRIARS,ROAD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,32.7693892,-117.1701881
358,358,358,171369,2017-02-18 09:00:00,712,4200, ,CAM DE LA,PLAZA, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.5452915,-117.044865
359,359,359,173579,2017-02-18 09:15:00,446,300, ,EUCLID,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7077266,-117.08501409999998
360,360,360,171487,2017-02-18 11:00:00,623,7000, ,FRIARS,ROAD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7693892,-117.1701881
361,361,361,171386,2017-02-18 11:55:00,114,4200, ,CONRAD,AVENUE, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.8353601,-117.2013686
362,362,362,171410,2017-02-18 12:26:00,526,0,W,BEECH,STREET, ,FRONT,STREET,22100B,VC,LEFT TURNS AT INTERSECTIONS,2,0,,32.7209153,-117.1596207
363,363,363,171412,2017-02-18 12:50:00,122,2100, ,GARNET,AVENUE, , , ,23123.5(A),VC,TEXT MESSAGING WHILE DRIVING,1,0,,32.8017988,-117.2316686
364,364,364,171521,2017-02-18 13:10:00,838,3800, ,UNIVERSITY,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7497041,-117.1118823
365,365,365,171514,2017-02-18 13:30:00,315,900, ,CAM DEL RIO, , , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7659791,-117.1562976
366,366,366,171516,2017-02-18 14:17:00,232,12100, ,CARMEL MTN,ROAD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.9845516,-117.0760356
367,367,367,171366,2017-02-18 14:34:00,436,500, ,68TH,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.710100800000006,-117.0509572
368,368,368,171474,2017-02-18 16:30:00,613,4500, ,NIMITZ,BOULEVARD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.7467982,-117.2340757
369,369,369,171475,2017-02-18 17:55:00,611,3600, ,ROSECRANS,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.7510321,-117.2056928
370,370,370,171585,2017-02-18 17:55:00,822,5900, ,UNIVERSITY,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7505914,-117.0703326
