,report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,lat,lng
1245,186355,2018-08-16 17:33:00,813,2900, ,PALM,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,2,0,,32.73563,-117.1314528
1246,186298,2018-08-16 17:37:00,121,3700, ,OCEAN FRONT,WALK, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.7824464,-117.2536999
1247,186312,2018-08-16 17:43:00,622,5500, ,MILDRED,STREET, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,MISDEMEANOR,32.7678875,-117.1939029
1248,186354,2018-08-16 17:55:00,712,1600, ,DAIRY MART,ROAD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.5673863,-117.063355
1249,186669,2018-08-16 18:00:00,313,4800, ,SHAWLINE,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.8289613,-117.1636821
1250,187241,2018-08-16 19:00:00,937,17100, ,CAM DEL SUR, , , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,33.0127144,-117.1469526
1251,187234,2018-08-16 19:29:00,524,400,W,A,STREET, , , ,20002(A),VC,HIT AND RUN,0,0,MISDEMEANOR,32.7188361,-117.1610899
1252,186343,2018-08-16 21:30:00,233,7900, ,CARMEL MOUNTAIN,ROAD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.9569134,-117.1453115
1253,186324,2018-08-16 21:56:00,325,7200, ,GOLFCREST,DRIVE, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.8073385,-117.0391385
1254,186462,2018-08-16 22:38:00,116,5100, ,FIELD,STREET, , , ,21954A,VC,PEDESTRIANS OUTSIDE CROSSWALKS,1,0,FELONY,32.793415,-117.193604
1255,186356,2018-08-16 23:00:00,712,600,W,SAN YSIDRO,BOULEVARD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.5566065,-117.056664
1256,186491,2018-08-17 00:01:00,713,1600, ,OTAY MESA CENTER,ROAD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.5678673,-116.9667018
1257,186344,2018-08-17 00:20:00,233,0, ,CARMEL MTN,ROAD, ,I-15 SB, ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,0,0,,32.9630893,-117.1307777
1258,186291,2018-08-17 01:07:00,116,3400, ,CLAIREMONT,DRIVE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.8028236,-117.1983385
1259,186402,2018-08-17 02:59:00,614,1800, ,SUNSET CLIFFS,BOULEVARD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.7430525,-117.2490455
