,seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt,start_lat,start_long,end_lat,end_long
26624,SS-027409,90.0,VAN NUYS ST,VAN NUYS PL,EVERTS ST,231.9254,36.0,Residential,AC Improved,8349.3144,Good,751438.296,32.812862,-117.253326,32.812798,-117.252602
26625,SS-027410,86.064,VAN NUYS ST,VAN NUYS CT,VAN NUYS PL,252.72299999999998,36.0,Residential,AC Improved,9098.028,Good,783012.681792,32.8126872,-117.2541158,32.812862,-117.253326
26627,SS-027413,84.104,VAN NUYS ST,CASS ST,VAN NUYS WY,280.863,36.0,Residential,AC Improved,10111.068000000001,Good,850381.263072,32.81222200000001,-117.256363,32.812424,-117.255478
26628,SS-027414,71.824,VAN NUYS ST,CANDLELIGHT DR,CASS ST,583.0573,36.0,Residential,AC Improved,20990.0628,Good,1507590.2705472,32.811825,-117.258202,32.81222200000001,-117.256363
26629,SS-027415,79.208,VAN NUYS ST,LA JOLLA MESA DR,CANDLELIGHT DR,607.7962,36.0,Residential,AC Improved,21880.6632,Good,1733123.5707456002,32.8114291,-117.2600949,32.811825,-117.258202
26632,SS-027419,68.00399999999999,VANCOUVER AV,THORN ST,MYRTLE AV,672.1109,40.0,Residential,AC Improved,26884.436,Fair,1828249.185744,32.7404018,-117.117908,32.7421948,-117.1185302
26633,SS-027420,77.578,VANCOUVER AV,REDWOOD ST,THORN ST,686.671,40.0,Residential,AC Improved,27466.84,Good,2130822.51352,32.7386114,-117.1172883,32.7404018,-117.117908
26634,SS-027421,75.786,VANCOUVER AV,QUINCE ST,REDWOOD ST,680.6247,40.0,Residential,AC Improved,27224.987999999998,Good,2063272.940568,32.7368203,-117.1166775,32.7386114,-117.1172883
26636,SS-027424,27.388,VANCOUVER AV,KALMIA ST,MAPLE ST,686.1181,30.0,Residential,AC Improved,20583.543,Poor,563742.075684,32.7314352,-117.1147568,32.7332238,-117.1154168
26641,SS-027429,77.402,VANDEVER AV,FAIRMOUNT AV,RIVERDALE ST,571.1263,50.0,Prime,AC Improved,28556.315,Good,2210315.89363,32.787723,-117.1014748,32.787706,-117.0996155
26642,SS-027430,78.124,VANDEVER AV,MISSION GORGE RD,DECENA DR,297.0421,40.0,Residential,AC Improved,11881.684,Good,928244.680816,32.7876923,-117.0977291,32.78769,-117.096761
26643,SS-027431,73.566,VANDEVER AV,DECENA DR,HOLABIRD ST,293.0274,40.0,Residential,AC Improved,11721.096000000001,Good,862274.148336,32.78769,-117.096761,32.7876881,-117.0958217
26644,SS-027432,58.67,VANDEVER AV,HOLABIRD ST,CRAWFORD ST,584.1034,40.0,Residential,AC Improved,23364.136000000002,Fair,1370773.8591200002,32.7876881,-117.0958217,32.7876622,-117.0939285
26645,SS-027433,59.714,VANDEVER AV,CRAWFORD ST,SEAMAN ST,573.3902,20.0,Residential,AC Improved,11467.803999999998,Fair,684788.448056,32.7876622,-117.0939285,32.7877343,-117.0921131
26646,SS-027434,65.712,VANDEVER AV,ESTRELLA AV,DANBURY WY,267.0469,36.0,Residential,AC Improved,9613.6884,Fair,631734.6921408001,32.7872038,-117.0895541,32.7871949,-117.088685
26647,SS-027435,73.844,VANDEVER AV,DANBURY WY,WINONA AV,307.0408,36.0,Residential,AC Improved,11053.4688,Good,816232.3500672,32.7871949,-117.088685,32.7871774,-117.0876853
26648,SS-027436,73.788,VANDEVER AV,WINONA AV,50TH ST,459.5871,36.0,Residential,AC Improved,16545.1356,Good,1220832.4656528,32.7871774,-117.0876853,32.7869471,-117.0862669
26649,SS-027437,64.492,VANDEVER AV,RIVERDALE ST,MISSION GORGE RD,582.1235,50.0,Prime,AC Improved,29106.175,Fair,1877115.4381,32.787706,-117.0996155,32.7876923,-117.0977291
26650,SS-027442,67.99600000000001,VANTAGE WY,RECUERDO DR,HALF MOON BAY DR,319.5098,36.0,Residential,AC Improved,11502.3528,Fair,782113.9809888001,32.9559042,-117.2521375,32.9559026,-117.251101
26651,SS-027443,80.8,VANTAGE WY,HALF MOON BAY DR,PINEWOOD DR,292.0097,36.0,Residential,AC Improved,10512.3492,Good,849397.81536,32.9559026,-117.251101,32.9559076,-117.2501345
26652,SS-027444,71.086,VANTAGE WY,PINEWOOD DR,BOQUITA DR,260.4041,36.0,Residential,AC Improved,9374.5476,Good,666399.0906936,32.9559076,-117.2501345,32.9558102,-117.2493152
26653,SS-027445,58.84,VANTAGE WY,BOQUITA DR,BAHAMA CV,313.5482,36.0,Residential,PCC Jointed Concrete,11287.7352,Fair,664170.339168,32.9558102,-117.2493152,32.95547310000001,-117.2483992
26654,SS-027446,21.5,VANTAGE WY,BAHAMA CV,MANGO DR,268.4541,36.0,Residential,AC Improved,9664.3476,Poor,207783.4734,32.95547310000001,-117.2483992,32.9556222,-117.247531
26655,SS-027447,94.07,VARNEY DR,PLAZA CUERNAVACA WY,CAREFREE DR,254.1512,35.0,Residential,AC Improved,8895.292,Good,836780.11844,32.6978737,-117.0552462,32.6981017,-117.0544462
26656,SS-027448,94.0,VARNEY DR,LEGHORN AV,PLAZA CUERNAVACA WY,213.4518,35.0,Residential,AC Improved,7470.813,Good,702256.422,32.6977021,-117.0558688,32.6978737,-117.0552462
26657,SS-027449,73.5,VARNEY DR,S 66TH ST,LEGHORN AV,373.3789,40.0,Residential,AC Improved,14935.156,Good,1097733.966,32.6973239,-117.0570333,32.6977021,-117.0558688
26658,SS-027452,74.0,VARNEY DR,MORAEA ST,PLAZA TAXCO,221.6104,35.0,Residential,AC Improved,7756.3640000000005,Good,573970.936,32.6965629,-117.059989,32.6967636,-117.0592896
26659,SS-027454,74.0,VARNEY DR,AGAPANTHUS DR,PLAZA VISTA,101.3951,24.0,Residential,AC Improved,2433.4824,Good,180077.6976,32.6963353,-117.060736,32.6964189,-117.0604248
26660,SS-027460,90.30799999999999,VARONA ST,CATALINA BL,SAVOY ST,330.9378,40.0,Residential,AC Improved,13237.511999999999,Good,1195453.233696,32.7262157,-117.2445531,32.7263752,-117.2455928
26661,SS-027464,89.50200000000001,VARONA ST,SAVOY ST,MOANA DR,327.4745,40.0,Residential,AC Improved,13098.98,Good,1172384.90796,32.7263752,-117.2455928,32.7266045,-117.2466336
26662,SS-027465,74.9,VEGA ST,NAPLES ST,SAVANNAH ST,309.4011,38.0,Residential,AC Improved,11757.2418,Good,880617.4108200001,32.7707848,-117.203306,32.7714731,-117.202713
26663,SS-027466,68.916,VEGA ST,NAPLES PL,NAPLES ST,178.0029,40.0,Residential,AC Improved,7120.116,Fair,490689.914256,32.7704133,-117.2036342,32.7707848,-117.203306
26664,SS-027467,79.236,VEGA ST,WEST MORENA BL,NAPLES PL,173.6,40.0,Residential,AC Improved,6944.0,Good,550214.784,32.7699299,-117.2040259,32.7704133,-117.2036342
26665,SS-027468,44.248000000000005,VELA DR,CETUS RD,MENKAR RD,1365.7522,36.0,Residential,AC Improved,49167.0792,Fair,2175544.9204416,32.930653,-117.138069,32.9339043,-117.1373022
26667,SS-027474,64.65,VENICE ST,MUIR AV,VOLTAIRE ST,261.2221,40.0,Prime,AC Improved,10448.884,Fair,675520.3506,32.7447947,-117.2364178,32.7453417,-117.2359559
26668,SS-027475,70.93,VENICE ST,LONG BRANCH AV,MUIR AV,246.8137,40.0,Prime,AC Improved,9872.548,Good,700259.82964,32.7442121,-117.2369154,32.7447947,-117.2364178
26669,SS-027476,68.682,VENICE ST,SANTA MONICA AV,SARATOGA AV,419.3442,40.0,Residential,AC Improved,16773.768,Fair,1152055.933776,32.740494,-117.238602,32.7416168,-117.2383294
26670,SS-027477,82.708,VENICE ST,NEWPORT AV,SANTA MONICA AV,413.9185,40.0,Residential,AC Improved,16556.74,Good,1369374.85192,32.739403,-117.238937,32.740494,-117.238602
