"seg_id","oci","street","street_from","street_to","seg_length_ft","seg_width_ft","func_class","pvm_class","area_sq_ft","oci_desc","oci_wt"
"SA-000076",60.59,"ALLEY","","",440.0001,30,"Alley","PCC Jointed Concrete",13200.003,"Fair",799788.18177
"SA-000077",58.26,"ALLEY","","",380.8376,30,"Alley","PCC Jointed Concrete",11425.128,"Fair",665627.95728
"SA-000078",63.01,"ALLEY","","",667.0067,30,"Alley","PCC Jointed Concrete",20010.201,"Fair",1260842.76501
"SA-000079",61.27,"ALLEY","","",666.003,30,"Alley","PCC Jointed Concrete",19980.09,"Fair",1224180.1143
"SA-000080",58,"ALLEY","","",576.905,30,"Alley","PCC Jointed Concrete",17307.15,"Fair",1003814.7
"SA-000081",60.04,"ALLEY","","",234.002,30,"Alley","PCC Jointed Concrete",7020.06,"Fair",421484.4024
"SA-000082",82.62,"ALLEY","","",391.5319,30,"Alley","PCC Jointed Concrete",11745.957,"Good",970450.96734
"SA-000083",72.94,"ALLEY","","",659.003,30,"Alley","PCC Jointed Concrete",19770.09,"Good",1442030.3646
"SA-000084",16.88,"ALLEY","","",662.0145,30,"Alley","PCC Jointed Concrete",19860.435,"Poor",335244.1428
"SA-000088",76.01,"ALLEY","","",617.0009,30,"Alley","PCC Jointed Concrete",18510.027,"Good",1406947.15227
"SA-000089",59.99,"ALLEY","","",627.0034,30,"Alley","PCC Jointed Concrete",18810.102,"Fair",1128418.01898
"SA-000090",48.93,"ALLEY","","",662.0077,30,"Alley","PCC Jointed Concrete",19860.231,"Fair",971761.10283
"SA-000091",67.42,"ALLEY","","",659.0008,30,"Alley","PCC Jointed Concrete",19770.024,"Fair",1332895.01808
"SA-000092",61.79,"ALLEY","","",379.021,30,"Alley","PCC Jointed Concrete",11370.63,"Fair",702591.2277
"SA-000093",86.24,"ALLEY","","",273.0074,30,"Alley","PCC Jointed Concrete",8190.222,"Good",706324.74528
"SA-000094",73.64,"ALLEY","","",443.0046,30,"Alley","PCC Jointed Concrete",13290.138,"Good",978685.76232
"SA-000095",61.6,"ALLEY","","",437.0013,30,"Alley","PCC Jointed Concrete",13110.039,"Fair",807578.4024
"SA-000096",61.37,"ALLEY","","",652.0077,30,"Alley","PCC Jointed Concrete",19560.231,"Fair",1200411.37647
"SA-000097",73.2,"ALLEY","","",170.0029,30,"Alley","PCC Jointed Concrete",5100.087,"Good",373326.3684
"SA-000098",61.9,"ALLEY","","",150,30,"Alley","PCC Jointed Concrete",4500,"Fair",278550
"SA-000099",92.33,"ALLEY","","",542.0088,30,"Alley","PCC Jointed Concrete",16260.264,"Good",1501310.17512
"SA-000100",85.8,"ALLEY","","",218.1122,30,"Alley","PCC Jointed Concrete",6543.366,"Good",561420.8028
"SA-000101",81.24,"ALLEY","","",634.0008,30,"Alley","PCC Jointed Concrete",19020.024,"Good",1545186.74976
"SA-000102",66.5,"ALLEY","","",437.0425,30,"Alley","PCC Jointed Concrete",13111.275,"Fair",871899.7875
"SA-000103",74.84,"ALLEY","","",658,30,"Alley","PCC Jointed Concrete",19740,"Good",1477341.6
"SA-000104",54.62,"ALLEY","","",663.003,30,"Alley","PCC Jointed Concrete",19890.09,"Fair",1086396.7158
"SA-000106",77.28,"ALLEY","","",368.0003,30,"Alley","PCC Jointed Concrete",11040.009,"Good",853171.89552
"SA-000108",75.77,"ALLEY","","",515.6326,30,"Alley","PCC Jointed Concrete",15468.978,"Good",1172084.46306
"SA-000109",52.73,"ALLEY","","",442.0001,30,"Alley","PCC Jointed Concrete",13260.003,"Fair",699199.95819
"SA-000111",60.55,"ALLEY","","",698.0028,30,"Alley","PCC Jointed Concrete",20940.084,"Fair",1267922.0862
"SA-000112",92.65,"ALLEY","","",440.0012,30,"Alley","PCC Jointed Concrete",13200.036,"Good",1222983.3354
"SA-000113",66.21,"ALLEY","","",526.5005,30,"Alley","PCC Jointed Concrete",15795.015,"Fair",1045787.94315
"SA-000114",82.88,"ALLEY","","",301.0416,30,"Alley","PCC Jointed Concrete",9031.248,"Good",748509.83424
"SA-000115",58.5,"ALLEY","","",503.9638,30,"Alley","PCC Jointed Concrete",15118.914,"Fair",884456.469
"SA-000116",75.9,"ALLEY","","",187.024,30,"Alley","PCC Jointed Concrete",5610.72,"Good",425853.648
"SA-000117",68.67,"ALLEY","","",342.0033,30,"Alley","PCC Jointed Concrete",10260.099,"Fair",704560.99833
"SA-000118",65.11,"ALLEY","","",482.0094,30,"Alley","PCC Jointed Concrete",14460.282,"Fair",941508.96102
"SA-000119",87.48,"ALLEY","","",171.0029,30,"Alley","PCC Jointed Concrete",5130.087,"Good",448780.01076
"SA-000120",81.55,"ALLEY","","",351.1112,30,"Alley","PCC Jointed Concrete",10533.336,"Good",858993.5508
