,seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt,start_lat,start_long,end_lat,end_long
19531,SS-019393,56.504,MT HUBBARD AV,MT HENRY AV,MT HERBERT AV,445.0661,36.0,Residential,AC Improved,16022.3796,Fair,905328.5369184,32.8191947,-117.1986073,32.8181017,-117.1985331
19533,SS-019395,45.466,MT HUKEE AV,MT VOSS DR,MT LAUDO DR,839.5082,36.0,Residential,AC Improved,30222.2952,Fair,1374086.8735632,32.819285,-117.1947408,32.8215003,-117.1945319
19534,SS-019396,48.156000000000006,MT HUKEE AV,MT HORTON DR,MT VOSS DR,249.33,36.0,Residential,AC Improved,8975.88,Fair,432242.47728,32.8185829,-117.1945474,32.819285,-117.1947408
19535,SS-019397,54.928000000000004,MT HUKEE AV,MT ARMET DR,MT HORTON DR,1202.7889,36.0,Residential,AC Improved,43300.4004,Fair,2378404.3931712,32.815613,-117.196083,32.8185829,-117.1945474
19536,SS-019398,62.214,MT JEFFERS AV,MT HORTON DR,MT LAUDO DR,707.4303,36.0,Residential,AC Improved,25467.4908,Fair,1584434.4726312,32.8187624,-117.193092,32.8209104,-117.1932788
19537,SS-019399,66.95,MT KING DR,MT LINDSEY AV,MT HENRY AV,242.1425,36.0,Residential,AC Improved,8717.13,Fair,583611.8535,32.825268,-117.194794,32.823933,-117.194809
19538,SS-019400,69.13600000000001,MT KING DR,MT HENRY AV,MT HERBERT AV,258.6309,36.0,Residential,AC Improved,9310.7124,Fair,643705.4124864,32.823933,-117.194809,32.823582,-117.194077
19539,SS-019401,56.303999999999995,MT LA PALMA DR,MT LONGS DR,MT LONGS DR,1241.1357,36.0,Residential,AC Improved,44680.8852,Fair,2515712.5603008,32.825905,-117.188217,32.825905,-117.188217
19542,SS-019404,75.26,MT LA PLATTA DR,MT LONGS DR,MT LA PLATTA PL,825.3614,36.0,Residential,AC Improved,29713.0104,Good,2236201.1627040002,32.828083,-117.191368,32.827831,-117.188904
19543,SS-019405,64.07600000000001,MT LA PLATTA DR,MT LA PLATTA PL,MT FORAKER AV,917.1707,36.0,Residential,AC Improved,33018.1452,Fair,2115670.6718352,32.827831,-117.188904,32.826015,-117.186989
19544,SS-019406,55.188,MT LA PLATTA DR,MT FORAKER AV,MT LA PLATTA CT,234.5284,30.0,Residential,AC Improved,7035.852,Fair,388294.60017600004,32.826015,-117.186989,32.825607,-117.186394
